PLOT,Year,ACFL,ALFL,AMCR,AMGO,AMKE,AMRE,AMRO,AMWO,BADO,BAOR,BAWW,BCCH,BEKI,BGGN,BHCO,BLJA,BLWA,BRCR,BRTH,BTNW,BWHA,BWWA,CAWA,CEWR,CEWX,CHSP,COGR,COHA,COYE,CSWA,DOWO,EAPH,EATO,EAWP,FISP,GBHE,GCFL,GCKI,GHOW,GRCA,GWWA,HAWO,HETH,HOWA,HOWR,INBU,LEFL,LOWA,MODO,MOWA,NAWA,NOCA,NOFL,NRWS,OVEN,PIWO,RBGR,RBWO,REVI,RHWO,ROPI,RTHA,RTHU,RUGR,RWBL,SCTA,SOSP,TUTI,TUVU,VEER,WAVI,WBNU,WEWA,WITU,WIWR,WODU,WOTH,YBCU,YTVI
AblemanGorge,1970,0,0,0,1,0,0,2,0,1,5,0,2,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,5,0,0,2,0,0,0,0,1,0,0,3,4,0,0,0,0,0,3,1,0,0,1,1,1,0,5,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,1,2,1,4
BaxterHollowStreamGorge,1970,6,0,1,1,0,0,0,0,0,1,2,4,0,1,3,1,4,0,0,0,0,0,5,0,1,0,1,0,0,0,1,1,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,4,0,0,6,0,1,0,0,0,3,0,0,0,6,0,2,1,0,0,0,1,0,2
BittrickHollow,1970,0,0,0,0,0,0,2,0,0,0,0,2,0,1,4,1,0,1,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,5,0,0,2,0,0,3,0,1,0,0,0,3,0,1,0,0,0,3,0,0,0,0,1,0,3,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,4,0,0
DevilsLakeRedOakSNA,1970,0,0,4,0,0,0,2,0,0,0,1,3,0,1,1,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,5,0,1,1,0,0,2,0,0,0,0,1,0,0,5,0,0,2,0,0,1,0,0,2,0
HalsValley,1970,2,0,0,1,0,0,2,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HanleyGorge,1970,7,0,2,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
HogsBackDryMesicForest,1970,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,11,0,2,0,0,4,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
HogsBackJackPine,1970,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,5,3,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HogsBackOakPineForest,1970,0,0,4,0,0,0,2,0,0,0,0,4,0,0,0,4,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,6,3,2,0,0,0,0,1,0,2,1,0,0,1,0,0,1,0,2,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KlondikeCampground,1970,0,0,0,0,0,3,0,0,0,2,0,0,0,2,4,1,0,0,0,0,1,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,6,3,0,0,0,2,10,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0
NarrowsCreekGorge,1970,0,0,4,1,0,0,0,0,0,2,1,2,0,1,8,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,5,0,0,2,0,0,1,0,1,0,0,0,7,0,0,0,0,0,4,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
PanHollow,1970,7,0,0,2,0,0,5,1,0,1,0,1,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,27,4,0,0,0,0,0,0,18,0,0,1,0,13,0,0,0,0,0,1,0,0,0,7,0,2,0,0,0,0,3,0,1
ProvorseHollow,1970,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
SaukHillPowerline,1970,0,0,0,0,0,3,6,0,0,4,0,2,0,0,6,6,0,0,0,0,0,2,0,1,0,0,0,0,1,11,2,0,5,21,0,0,4,0,0,11,0,4,0,4,1,16,2,0,0,5,0,2,1,0,11,1,13,4,0,5,0,0,1,2,0,5,2,0,1,0,0,6,0,0,0,0,3,0,3
SumpterCutover,1970,0,0,2,1,0,3,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,12,6,2,0,0,0,5,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
SumpterLoggedOakWoods,1970,0,0,0,0,0,3,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,3,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
WildcatCanyon,1970,0,0,0,2,0,0,1,0,0,2,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,0,0,3,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,3,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
WinterCreekGorge,1970,1,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0
AblemanGorge,2000,0,0,5,2,0,0,0,0,0,0,0,6,0,1,3,3,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1,5,0,17,0,0,0,0,0,1,0,1,0,0,3,2,0,1,0,0,0,5,0,0,5,1,1,1,0,5,0,1,0,0,0,2,5,0,1,0,1,5,0,1,1,0,1,0,0
BaxterHollowStreamGorge,2000,2,0,0,2,0,3,10,0,0,2,1,2,0,7,7,8,3,0,0,0,0,1,5,0,1,3,0,0,0,0,1,1,0,10,0,0,1,1,0,0,0,1,0,0,4,1,3,6,0,0,0,0,1,0,3,1,6,0,0,5,0,0,0,0,0,4,1,0,0,2,0,2,1,0,2,0,0,0,1
BittrickHollow,2000,0,0,2,3,0,0,2,0,0,1,0,4,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,6,0,0,1,0,1,0,0,1,0,0,0,2,0,3,0,0,0,3,0,0,4,1,0,0,7,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,2,0,0
DevilsLakeRedOakSNA,2000,2,0,3,0,1,0,2,0,1,0,1,3,0,3,2,2,0,0,0,0,0,0,0,0,2,6,0,0,0,0,1,2,0,7,0,0,4,0,0,0,0,1,0,0,2,8,0,0,0,0,0,0,1,2,4,1,0,1,0,2,4,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,0
HalsValley,2000,4,0,1,0,0,0,1,0,1,0,0,4,0,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,1,0,5,0,0,0,0,0,2,0,0,0,2,0,2,0,0,1,0,0,0,0
HanleyGorge,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1
HogsBackDryMesicForest,2000,0,0,0,0,0,3,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,1,0,0,9,0,5,1,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0
HogsBackJackPine,2000,0,0,4,0,0,0,2,0,0,0,0,4,0,0,0,4,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,6,3,2,0,0,0,0,1,0,2,1,0,0,1,0,0,1,0,2,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HogsBackOakPineForest,2000,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,5,3,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KlondikeCampground,2000,0,1,1,3,0,1,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,4,0,0,0,0,0,0,8,0,1,0,1,1,2,0,0,0,0,5,0,1,0,0,2,1,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,1
NarrowsCreekGorge,2000,0,0,1,3,0,0,0,0,0,0,0,2,0,3,5,5,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,3,0,11,0,2,3,0,0,0,0,0,0,0,0,6,0,1,0,0,0,4,0,0,0,1,6,4,0,7,0,1,0,0,0,2,1,0,1,0,0,1,0,0,1,2,3,0,5
PanHollow,2000,3,0,1,0,0,4,8,0,0,0,0,3,1,5,6,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,14,0,5,0,0,9,0,0,1,0,0,5,0,0,0,9,0,3,0,0,1,0,4,0,2
ProvorseHollow,2000,3,0,0,3,0,0,1,0,0,0,0,5,0,4,4,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,1,8,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,15,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,4
SaukHillPowerline,2000,2,0,1,3,0,12,6,0,0,0,0,6,0,8,7,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,24,0,0,1,0,0,1,0,1,0,1,0,3,0,0,1,0,0,1,0,0,22,1,9,0,0,37,0,0,2,0,0,6,0,1,0,0,0,3,0,2,0,0,4,6,3
SumpterCutover,2000,1,0,1,3,0,1,0,0,0,0,0,2,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,3,1,0,14,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,1,2,0
SumpterLoggedOakWoods,2000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0
WildcatCanyon,2000,0,0,1,1,0,0,2,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,0,9,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,7,1,0,1,1,0
WinterCreekGorge,2000,2,0,0,0,0,1,3,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,4,2,2,1,0,8,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,2,0,1
